标题,卖点,总价,单价,户型,楼层,共有楼层数,装修,朝向,建造时间,面积,小区,区域,所属区,梯户比例,是否有电梯,房屋属性,详情页
次新小区精装修带暖器片，南北通透户型周正，价格实惠,次新小区环境好，精装修带暖器片，南北通透户型周正，价格实惠！,157,12508,4室2厅,低楼层,18,精装,南 北,2015,125.52,珠江郦城探香里,福元西路,开福,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108683813.html
中高楼层 视野好 采光好 保养好 配套完善,中高楼层 视野好 采光好 保养好 配套完善,122.6,12300,3室2厅,中楼层,34,简装,南 北,2014,99.68,万科魅力之城,武广新城,雨花,三梯六户,有,商品房,https://cs.lianjia.com/ershoufang/104108664430.html
有车位 房户型周正，出行方便，业主自住精装,"此房户型周正，
出行方便，大三房，业主自住精装，拎包入住",113,11352,3室2厅,高楼层,33,精装,南,2010,99.55,上海城,韶山南路,雨花,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108677793.html
此房业主诚意出售，楼层好，小区坏境优美，有人工湖，,此房业主诚意出售，楼层好，采光足，小区坏境优美，有人工湖，,105,8062,4室2厅,中楼层,18,其他,东南 南,2013,130.25,佳兆业水岸新都东区,跳马,雨花,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108670505.html
世纪城南边苑大三房 诚心出售 随时看房,南边苑大三房，清水塘，北雅，大入户花园，精装中 央空调,148,12640,3室2厅,低楼层,33,精装,南 北,2008,117.09,世纪城星江苑,湘江世纪城,开福,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108687948.html
满五唯一 证在手 清水毛坯  欧式户型 任你装修,满五唯一证在手 清水毛坯 户型通透 诚意出售,135,10397,3室2厅,高楼层,26,毛坯,南,0,129.85,江山帝景哈佛,含浦,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108675301.html
滨江金融板块  江景房 次新房花园小区,此房满五唯一  户型周正  厨房比较大  采光充足  视野开阔  交..,215,20999,3室2厅,高楼层,55,毛坯,南,2015,102.39,世茂外滩里,滨江新城,岳麓,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108688436.html
周正大三房，格局好楼层好。。。。,居住舒适度高，格局好，楼层好，新城得房高的户型，周正！,91,7260,3室1厅,高楼层,34,毛坯,南,2013,125.36,新城国际花都一期,望城区,望城,两梯三户,有,商品房,https://cs.lianjia.com/ershoufang/104108664087.html
满五唯一，户型周正，采光好，业主很诚心！,此房格局好 采光好 看整个别墅区 靳江河畔 视野开阔,88,8193,3室2厅,低楼层,18,毛坯,东南,0,107.42,星语林汀湘十里,含浦,岳麓,两梯六户,有,商品房,https://cs.lianjia.com/ershoufang/104108657045.html
满五唯一，小三房入户一间房，做的榻榻米，带地暖,此房满五唯一，朝南户型，东边户，采光很好，前面无遮挡,79.8,9511,3室1厅,中楼层,34,精装,南,2014,83.91,华润凤凰城二期,开元路,长沙县,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108714581.html
满五唯一。带车库 家电齐全 带露台，大同,满五唯一。这个价格带车库，之前是自己住的装修，家电齐全,140,7832,5室2厅,高楼层,6,简装,南,2007,178.76,东南明苑,晚报,芙蓉,一梯两户,无,商品房,https://cs.lianjia.com/ershoufang/104108661440.html
房东诚心出售，新城新世界通透两房，采光好，,树木岭 城轨地铁口 新城新世界三房 通透两房房 全天采光,107.8,12025,3室1厅,低楼层,18,简装,南,2013,89.65,新城新世界一期,高桥,雨花,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108672930.html
浏阳河旁，6号线花桥站，纯毛坯，花园小区，满五唯一,双地铁口 户型周正单价总价低 可看浏阳河 诚心出售,121.8,10875,3室2厅,中楼层,33,毛坯,南,2011,112,江河双水湾,武广新城,雨花,两梯三户,有,商品房,https://cs.lianjia.com/ershoufang/104108688716.html
满五唯一，看房方便，价格实惠，地铁，交通便利,房子满五唯一，有钥匙，看房方便，业主诚心出售,90,10073,3室2厅,高楼层,34,毛坯,南,2015,89.35,高盛华成,枫林三路,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108705962.html
南边苑大三房，清水塘和北雅，满五只有一套，诚心出售,此房为满五省内一套住宅，北雅和清水塘未曾使用，江边栋三房,174.5,13432,3室2厅,低楼层,33,其他,南,2010,129.92,世纪城悦江苑,湘江世纪城,开福,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108676783.html
满五唯一，精装修带露台，边户，看房方便,满五唯一，精装修带露台，边户，看房方便,79,9719,2室2厅,低楼层,17,精装,南,2012,81.29,钱隆学府,省政府,天心,四梯十六户,有,商品房,https://cs.lianjia.com/ershoufang/104108660917.html
双地铁+全新装修+正规小两房+业主急售,诚心出售 房子格局好，小区属于火车站商圈配套成熟,85.8,12317,2室1厅,低楼层,32,精装,东南,2012,69.66,凯通国际城,火车站,芙蓉,两梯六户,有,商品房,https://cs.lianjia.com/ershoufang/104108726494.html
波隆城市花园力求以DA住宅占地面积,交通方便，配套成熟，各方面便利。楼下肯德基，购物广场,53.2,6899,2室1厅,低楼层,31,精装,南,0,77.12,波隆城市花园,星沙其他,长沙县,一梯四户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104108694892.html
万科城三期满五年唯一 装修保养好三房,房子满五年唯一，进门有一个杂物间，客厅带大阳台，装修还可以,111,12530,3室2厅,高楼层,23,精装,东南,2014,88.59,万科城三期,福元西路,开福,两梯六户,有,商品房,https://cs.lianjia.com/ershoufang/104108674600.html
雨花区纯板房 两梯两户 帝王楼层  钥匙在手 说走就走,此房诚心出售，户型正规，采光好，小区环境好，适合居家,105,9852,3室1厅,高楼层,18,毛坯,南,2012,106.58,宏聚地中海,万家丽南路,雨花,两梯三户,有,商品房,https://cs.lianjia.com/ershoufang/104108705500.html
次新小区 自住精装修 枫树山  看房方便,此房满五唯一    得房率高，次新小区自住装修。,125,13125,3室2厅,低楼层,34,精装,南,2016,95.24,旭辉香樟公馆,树木岭,雨花,三梯六户,有,商品房,https://cs.lianjia.com/ershoufang/104108696102.html
恒大华府 3室1厅 南,链家网真房源，更多房源信息请联系经纪人,155,17230,3室1厅,低楼层,29,精装,南,2014,89.96,恒大华府,市政府,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108699083.html
雨花台 长电宿舍 中间楼层 满五唯一,此房南北通，，采光好，原始户型，一梯二户纯板楼 停车免费,48,7499,2室1厅,中楼层,8,简装,南 北,0,64.01,长电宿舍,雨花亭,雨花,一梯两户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104108726342.html
视野开阔，枫树山明昇，2/4双地铁口，保利mall,视野开阔，枫树山明昇，2/4双地铁口，保利mall,88,10008,2室2厅,高楼层,24,精装,南,2010,87.93,星城映象,武广新城,雨花,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108705924.html
保利大品牌 6号线旁，环境好，配套完善，户型好,保利大品牌 6号线旁，环境好，配套完善，适宜居住，户型好,89.8,10960,2室1厅,低楼层,18,精装,南,0,81.94,保利麓谷林语D区,麓谷西,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108728135.html
马王堆火车站火星审计厅宿舍，带中空调和24小时热水,房子户型很好，楼层也不错，单位房，几乎没有分摊,84.8,8154,3室2厅,低楼层,7,其他,北 南,0,104,湖南省审计科研培训所,马王堆,芙蓉,一梯两户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104108678742.html
格林星城 精装自住两房 前后对中庭 采光好 诚心出售,购物方便，商圈繁华，双地铁，近西湖公园，价格好谈，诚意出售,102,11236,2室2厅,中楼层,11,精装,南,2007,90.78,格林星城,金星中路,岳麓,一梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108687037.html
山水湾 3室2厅 南,链家网真房源，更多房源信息请联系经纪人,70,6486,3室2厅,高楼层,7,其他,南,2013,107.93,山水湾,万家丽北,长沙县,一梯两户,无,商品房,https://cs.lianjia.com/ershoufang/104108678855.html
雨花区邻圭塘河风光带万科品质楼盘精装三房,万科精装三房，品牌物业管理，楼层好，采光视野好，交通便利,129,14041,3室2厅,高楼层,34,精装,南,2013,91.88,万科金域华府,武广新城,雨花,两梯五户,有,商品房,https://cs.lianjia.com/ershoufang/104108668694.html
雨花区植物园精装3房，中间楼层，诚心卖，地铁口200米,房子楼层好，不临马路，距离5号线板塘冲站200米，交通方便,80,8146,3室2厅,中楼层,18,精装,南,2011,98.21,森林公园壹号,汽车南站,雨花,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108709295.html
房东诚心出售，性价高，中高楼层，有钥匙，随时看房,楼层好视野开阔，双阳台，采光优秀，户型好，楼龄新，绿化好,118,10759,3室2厅,高楼层,34,简装,南,2016,109.68,绿地之窗,武广新城,雨花,两梯七户,有,商品房,https://cs.lianjia.com/ershoufang/104108691106.html
三房二卫板楼双阳台 位置安静 价格美丽 户型实用,此房南北向 三房二厅二卫 带双阳台 户型实用 位置安静,70,6232,3室2厅,低楼层,7,毛坯,南,0,112.34,枫华府第,含浦,岳麓,一梯两户,无,商品房,https://cs.lianjia.com/ershoufang/104108695011.html
南北通透  户型可观浏阳河四居室  居家装修,南北通透户型可看浏阳河四居室，精装修，高楼层采光足，视野开阔,142,11096,4室2厅,低楼层,31,精装,南 北,2012,127.98,第一湾,四方坪,开福,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108690258.html
业主诚心出售，看房方便，随时可签,业主诚心出售，看房方便，随时可签,61.9,7755,2室1厅,中楼层,32,精装,南 北,2015,79.82,富基世纪公园,金星北,望城,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108664407.html
此房一线临洋湖，中高楼层，视野开阔，俯瞰洋湖景观,此房满五唯一，产证在手，过户方便，诚心出售。,132,11358,3室1厅,中楼层,33,精装,东南,2013,116.22,中海国际社区三期,含浦,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108689506.html
花鼓戏剧院 湘雅医学院 湘江风光带 古开福寺,二环线内，黄兴北路，就在湘雅医院、妇幼旁好房，五一商圈,105,10532,3室2厅,低楼层,7,精装,南,0,99.7,长沙市花鼓戏剧院,伍家岭,开福,一梯一户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104108703362.html
配套设施齐全，交通方便，采光好,滨江板块，楼层好，视野开阔，采光充足，地铁，商场、配套齐..,199,11955,5室2厅,高楼层,16,精装,南 北,2003,166.46,沁园春,银盆岭,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108679014.html
三卧室朝南，户型周正，正常过户，楼层采光视野好,三卧室朝南，户型周正，正常过户，楼层采光视野好,176.5,16433,3室2厅,低楼层,31,毛坯,南,2014,107.41,佳兆业云顶梅溪湖,梅溪湖南岸,岳麓,两梯三户,有,商品房,https://cs.lianjia.com/ershoufang/104108726657.html
汇金城二期 精装四房，长郡雨外，5/7地铁,此房满五唯一，纯板楼4房，业主诚心出售,160,12396,4室2厅,低楼层,25,精装,南,2015,129.08,汇金城二期,汽车南站,雨花,两梯五户,有,商品房,https://cs.lianjia.com/ershoufang/104108689369.html
东方明珠三期  三加一户型  低总价高得房率,东方明珠三期  三加一户型  低总价高得房率,90.8,7884,4室2厅,中楼层,32,毛坯,南 北,2015,115.17,珠江东方明珠,金星北,望城,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108696571.html
瑞都华庭精装小三房，户型端正，无遮挡，出行方便,小区交通方便 通风采光效果好 小区适宜居家,93,10125,3室2厅,中楼层,18,其他,南,2010,91.86,瑞都华庭,韶山南路,雨花,两梯六户,有,商品房,https://cs.lianjia.com/ershoufang/104108703545.html
铁道学院 复式 上下两层 出行购方便 拎包入住 带燃气,铁道学院 带燃气 复式公寓 买一层得二 住宅性质 动静分离,31.6,9155,1室1厅,高楼层,21,精装,西,2007,34.52,他城时代公寓,铁道学院,天心,五梯四十一户,有,商品房,https://cs.lianjia.com/ershoufang/104108729212.html
南北透通近地铁商圈成熟精装江景好房,江景房近地铁商圈成熟户型周正房 北辰大三房户型,265,18828,3室1厅,高楼层,54,精装,西南,0,140.75,北辰三角洲C2区,北辰三角洲,开福,三梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108182741.html
急急急 麓谷西地体口 精装四房 满五唯一 中间层,保利大品牌 6号线旁，环境好，配套完善，适宜居住，满五唯一,158,11683,4室1厅,中楼层,32,精装,西北,2013,135.24,保利麓谷林语F区,麓谷西,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108722837.html
