标题,卖点,总价,单价,户型,楼层,共有楼层数,装修,朝向,建造时间,面积,小区,区域,所属区,梯户比例,是否有电梯,详情页,
滨江东金雅苑三开间朝南 望花园两房   免重税,满五免重税，南向望花园安静，一手业主产权清晰没抵押,420,58750,2室1厅,中楼层,13,简装,南,2001,71.49,金雅苑,滨江东,海珠,一梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403379092.html
时代花生二期少有放卖的户型，中层南向，安静不吵,南向看中信，满五年，产权面积141.44平方无非普通住宅税,766,54158,4室2厅,中楼层,18,简装,南,2008,141.44,时代花生二期,沙太南,天河,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403398133.html
省级朝天，精装修低层七房，户型方正,省级朝天，精装修低层七房，户型方正,399,33248,7室2厅,低楼层,3,精装,北 南,0,120.01,中山六路,西门口,越秀,一梯一户,无,商品房,https://gz.lianjia.com/ershoufang/108402843699.html
300米到地铁口，新装修有电梯 满五年框架结构可公积金,300米到地铁口，新装修 有电梯，框架满五年，南北对流采光好。,188,23889,3室1厅,中楼层,7,精装,南 北,0,78.7,富华西路,市桥,番禺,一梯两户,有,商品房,https://gz.lianjia.com/ershoufang/108403399914.html
水均大街方正三房，安静不吵，南北对流 低楼层,商品房过五年不唯一，南北对流3房1厅 ，近地铁,408,62424,3室1厅,中楼层,6,精装,南 北,0,65.36,水均岗,东风东,越秀,一梯两户,无,房改房,https://gz.lianjia.com/ershoufang/108403397683.html
鹭江地铁 电梯平层两房 满五有钥匙看房方便,此房源已加装电梯 满五年 非唯一 户型方正,198,51031,2室1厅,高楼层,9,精装,西南,1997,38.8,鹭苑公寓,新港西,海珠,一梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403399821.html
市二宫成熟商圈，原装电梯楼，近地铁，视野开阔,市二宫成熟商圈，原装电梯楼，近地铁，楼层好，视野开阔,380,26861,3室3厅,高楼层,22,简装,东,1999,141.47,侨宏大厦,前进路,海珠,两梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403396443.html
合生四期次新楼龄全新入住 中高楼层望小区花园,此房楼层好，视野宽阔，采光充足,160,17620,2室2厅,中楼层,25,精装,南 北,2017,90.81,合生湖山国际,凤凰城,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403398710.html
满五年唯一，中楼层，户型方正，产权清晰,此房满五年唯一，户型方正，通透户型，中楼层，诚心卖,245,40779,2室1厅,中楼层,9,简装,南 北,1995,60.08,天员大厦,员村,天河,一梯三户,无,商品房,https://gz.lianjia.com/ershoufang/108403395531.html
绿怡居 过五年唯一 南向大三房 采光通风好 格局方正,过5年唯一南向精装大三房 采光通风好，带28方大露台 格局方正。,301,31519,3室2厅,高楼层,4,精装,南,1999,95.5,祈福新村绿怡居,祈福新村,番禺,一梯一户,无,商品房,https://gz.lianjia.com/ershoufang/108403393388.html
冲冲冲蝶舞轩 南向小三房  装修好 过五年 产权清晰,房子是南向的，位置很好底层，业主平时很少住，都是度假,248,30770,3室2厅,低楼层,6,精装,南,2002,80.6,祈福新村蝶舞轩,祈福新村,番禺,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403398783.html
雅宝新城英伦世家，中高层，视野好，格局方正东南向,此房是没有按揭的，格局方正视野好，东南向，中高层,137,14190,2室1厅,高楼层,26,其他,东南,2012,96.55,雅宝新城英伦世家,秀全街,花都,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403401515.html
海伦堡南向三房  厨房宽大敞亮  实用面积多5平方,"卖点：
房子满2不满5， 装修保养好 产权清晰 人车分流",163,17867,3室2厅,高楼层,18,精装,东南,2008,91.23,广州海伦堡,沙村,增城,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403403184.html
配套成熟，近秀全公园，花都湖，地铁站。,此房马赛克外墙，配套成熟，近秀全公园，花都湖，地铁站。,100,11934,3室2厅,中楼层,12,简装,北,0,83.8,中山大楼,旧区,花都,一梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403399057.html
此房满五唯一，看房方便，小区中间位置望花园，采光好,此房满五唯一，看房方便，小区中间位置望花园，采光好,273,34083,3室2厅,中楼层,11,精装,南 北,1995,80.1,富丽家园丽水湾,大石,番禺,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403404832.html
全新精装3房，户型方正，南北对流，采光充足,全新精装3房，户型方正，南北对流，采光充足，有钥匙,190,26894,3室1厅,低楼层,9,精装,南,0,70.65,机场路,机场路,白云,一梯三户,无,商品房,https://gz.lianjia.com/ershoufang/108403398681.html
祈福倚云居东南向 视野开阔 采光非 常好,产权是满过五年不唯一  高层望祈福 全景视野开阔 采光好,275,25701,3室2厅,高楼层,29,精装,东南,2004,107,祈福新村倚云居,祈福新村,番禺,三梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403398416.html
永发大厦 锦砖电梯大3房 北站板块 南向,此房采光通风好 近北站 地铁口 住家 装修 设施齐全 出行便利,140,11095,3室2厅,高楼层,18,精装,南 北,2001,126.19,永发大厦(花都),旧区,花都,两梯十二户,有,商品房,https://gz.lianjia.com/ershoufang/108403405587.html
麓雅居 3室2厅 南,链家网真房源，更多房源信息请联系经纪人,360,40491,3室2厅,低楼层,20,简装,南,1996,88.91,麓雅居,淘金,越秀,两梯十二户,有,商品房,https://gz.lianjia.com/ershoufang/108403401460.html
新市花园一区 3室1厅 东 东南,链家网真房源，更多房源信息请联系经纪人,150,16990,3室1厅,高楼层,9,简装,东 东南,1994,88.29,新市花园一区,新市,白云,一梯十三户,无,商品房,https://gz.lianjia.com/ershoufang/108403411195.html
低楼层两房，全明格局，采光好，生活配套醇熟。,户型方正，格局好，低楼层，采光充足，配套齐全，交通便利。,170,29397,2室1厅,低楼层,9,简装,西北,0,57.83,礼岗路,昌岗,海珠,一梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403406178.html
汇侨新城南区 3室1厅 东,链家网真房源，更多房源信息请联系经纪人,255,25414,3室1厅,中楼层,17,其他,东,2000,100.34,汇侨新城南区,新市,白云,两梯十一户,有,商品房,https://gz.lianjia.com/ershoufang/108403408126.html
店长推荐，满五唯一，税费便宜。,此房满5年 户型方正 格局好 南向 中间位置,228,20586,3室1厅,低楼层,11,简装,南,2002,110.76,东方白云花园,市桥北,番禺,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403400544.html
天马河国际公馆 4室2厅 南 北 东北,链家网真房源，更多房源信息请联系经纪人,320,13334,4室2厅,中楼层,4,毛坯,南 北 东北,0,240,天马河国际公馆,旧区,花都,一梯两户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403358429.html
精装修，中层采光通风好，厅出阳台望小区安静,安静小区环境舒适 房子满五唯一  户型方正通风采光好 交通便捷,299,33420,3室2厅,中楼层,9,简装,北 东北,1994,89.47,康怡花苑,新港西,海珠,一梯六户,无,商品房,https://gz.lianjia.com/ershoufang/108403337894.html
南晓苑小区 精装平层电梯三房带主套 采光通风好,电梯正规三房带主套（电梯直到不用走半层），全新装修格局。,280,33854,3室1厅,高楼层,9,精装,北,1998,82.71,南晓苑,新港西,海珠,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403369293.html
业主诚心卖，南北通透格局好，楼层,业主诚心卖，南北通透格局好，楼层好，视野阔宽 ，采光充足，,270,22309,3室1厅,中楼层,30,毛坯,东南 南 北,2016,121.03,碧桂园豪进广场,白江,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403373447.html
保利东江首府中高楼层，楼栋位置好，一线江景无遮挡,房子是保利中间楼栋，景观环境好，江景物业，房子格局方正，满2,250,20142,3室2厅,高楼层,39,精装,南,2012,124.12,保利东江首府,新塘南,增城,两梯三户,有,商品房,https://gz.lianjia.com/ershoufang/108403383977.html
近地铁 新世界花园 满五 望小区园林 保养好,地铁口小区安静不吵，阳台望小区花园，保养好,213,24455,2室1厅,高楼层,22,精装,南,2009,87.1,新塘新世界花园万象苑,沙村,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403380838.html
翡翠绿洲 南向精装大两房 证满五年,正南向 采光通透 保养新净 位置好,168,17761,2室2厅,低楼层,21,精装,南,2011,94.59,翡翠绿洲湖滨苑,凤凰城,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403389473.html
精装大三房，中间楼层无遮挡，过5唯一税费少。,此房南向望花园，保养好，高楼层视野开阔，采光通风好。,370,29473,3室2厅,中楼层,23,精装,南,0,125.54,越秀滨海珺城,明珠湾,南沙,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403407945.html
天河御品 2室1厅 西北,链家网真房源，更多房源信息请联系经纪人,110,32739,2室1厅,低楼层,28,精装,西北,2010,33.6,天河御品,京溪,白云,两梯一百一十二户,有,商品房,https://gz.lianjia.com/ershoufang/108403405186.html
沙村地铁口 楼龄新，次新房 南向精装三房 高层通风好,沙村地铁口物业 楼龄新，次新房小区 南向精装三房 高层通风好.,205,20714,3室2厅,高楼层,17,精装,南,0,98.97,合汇学府名郡,白江,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403387655.html
近地铁 新世界花园 保养好 视野好 满五,视野宽阔 无遮挡 楼间距宽 装修保养好 满五无抵押,187,22089,2室1厅,高楼层,16,精装,北,2009,84.66,新塘新世界花园万象苑,沙村,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403391821.html
实用小三房，户型方正实用，南北对流户型。,实用小三房，户型方正实用，南北对流户型。,163,17743,3室2厅,低楼层,14,精装,南 北,2011,91.87,翡翠绿洲森林半岛,凤凰城,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403391747.html
房子满五年，无按揭，精装修，望花园，有钥匙看房方便,房子满五年，无按揭，精装修，望花园，有钥匙看房方便,159.8,19316,2室2厅,高楼层,27,精装,北,2009,82.73,金泽豪庭,白江,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403376390.html
正规小两房，过五唯一，采光好，，,格局正规户型，南向两房，离地铁13号线新塘站800米。,90,14779,2室1厅,高楼层,7,精装,北,0,60.9,美业阁,新塘北,增城,一梯八户,无,商品房,https://gz.lianjia.com/ershoufang/108403398304.html
新世界花园 近地铁 南向 小区环境好 保养好,房本2022年6月15号满五年  南向望花园 保养好,240,24750,3室1厅,低楼层,18,精装,南,2014,96.97,新塘新世界花园万象苑,沙村,增城,三梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403396778.html
此房前后望花园，过五唯一，中高层，通风采光好!,此房前后望花园，南向大两房，中高层，通风采光好，过五唯一！,185,22411,2室1厅,中楼层,17,精装,南,0,82.55,亚太新城亚太银座一期,新塘北,增城,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403399268.html
三房装修新净，采光充足，配套齐全。,三房装修新净，采光充足，配套齐全。,76,8437,3室2厅,中楼层,8,精装,北,0,90.08,塘园中路,荔城富鹏,增城,一梯两户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403398282.html
沙村地铁站南向两房，满五唯一，保养新，出行便利。,地铁站南向两房，满五唯一，省个税，保养新，出行便利。,138,18830,2室2厅,高楼层,7,精装,南,0,73.29,新塘新世界花园嘉华苑,沙村,增城,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403402415.html
汇东国际花园，罕有4房，户型方正,"单边位采光好 实用率十分阔绰,少有户型",320,22466,4室2厅,高楼层,28,精装,东南,2012,142.44,汇东国际花园,白江,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403410463.html
沙村地铁口600米 ，满五唯一，中层方正大两房，采光好,满五年唯一，中楼层，距离小区出入口100米，中层方正大两房,148,19718,2室2厅,中楼层,6,精装,北,0,75.06,新塘新世界花园嘉怡苑,沙村,增城,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403399555.html
新世界花园万象苑 环境好 楼龄新 配套成熟 保养新,地铁口20米 高楼层采光通风好 楼间距宽 无遮挡视野好,200,23205,2室1厅,中楼层,16,精装,北,2014,86.19,新塘新世界花园万象苑,沙村,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403401141.html
新塘地铁口800米，富雅名居 满五唯一2房，看小区花园,此房是满五唯一，安静舒适，生活配套成熟，购物便利！,116,16283,2室2厅,高楼层,9,精装,东北,2005,71.24,富雅名居,新塘北,增城,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403401574.html
沙村地铁口四房，过五年免增值税 南北对流户型,房子过五年 精装修保养好带大阳台 146方免增值税 也是小区单位,350,23880,4室2厅,中楼层,22,精装,南,2009,146.57,新塘新世界花园万象苑,沙村,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403344576.html
万科蓝山 4室2厅 东 东南 西,链家网真房源，更多房源信息请联系经纪人,538,33143,4室2厅,低楼层,4,精装,东 东南 西,2007,162.33,万科蓝山,南湖,白云,一梯两户,无,商品房,https://gz.lianjia.com/ershoufang/108403383590.html
业主诚心放卖 南北对流4房 高层看城市景观 佳格可谈,此房满五唯一，税费少，高层远望城市夜景视野宽阔，心旷神怡,2498,126035,4室2厅,高楼层,29,精装,南,2010,198.2,嘉裕丹顿阳光,珠江新城东,天河,三梯三户,有,商品房,https://gz.lianjia.com/ershoufang/108403373959.html
五山 两梯两户 182方品质五房 2011年楼龄新,此房满五唯一  两梯两户，五房两厅两卫三阳台，套内使用率82%,1750,96467,5室2厅,中楼层,23,精装,南 北,2011,181.41,茶山睿峰园,五山,天河,两梯两户,有,商品房,https://gz.lianjia.com/ershoufang/108403377486.html
电梯三房  温馨舒适 诚心出  看房方便,业主想置换物业，诚心放卖，该物业为商品房，过5年非唯一，,499,40952,3室2厅,中楼层,9,精装,南,0,121.85,下塘西路,麓景,越秀,一梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403389278.html
绿怡花园别墅 免重税  絔澫二次装修 保养好拎包入住,近缤纷汇 看房方便  有二次装修 业主自住保养好,850,66148,4室2厅,独栋,1,毛坯,北,2000,128.5,祈福新村绿怡花园,祈福新村,番禺,,,商品房,https://gz.lianjia.com/ershoufang/108403391772.html
此物业满五，富力皇座单位，东南向，楼龄新，三阳台。,中山八路，此物业满五，富力皇座单位，东南向，楼龄新，三阳台。,830,47445,4室2厅,高楼层,26,精装,东南,2003,174.94,富力广场B区,中山八,荔湾,两梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403393382.html
荷塘月色精装复式6房，南向望白云新城，视野开阔,荷塘月色精装复式6房，南向望白云新城，视野开阔,955,40774,6室2厅,高楼层,18,精装,南,2004,234.22,白云高尔夫花园荷塘月色,黄石,白云,两梯三户,有,商品房,https://gz.lianjia.com/ershoufang/108403385714.html
伊顿18 东南向大三房望园景 视野开阔 满五唯一,小区中间栋，东南向 楼层好 视野宽阔 采光充足 安静,1528,101193,3室2厅,中楼层,38,精装,东南,2004,151,天誉华庭,龙口西,天河,三梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403386183.html
保养好，安静望花园，满五唯一税费少，还多有一个阁楼,东方名都精装四房，满五唯一税费少，保养好，安静望花园,276,23004,4室1厅,中楼层,15,精装,南 北,2012,119.98,东方名都,白江,增城,三梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403393721.html
户型方正，没有遮挡采光好，中间楼层,户型方正，没有遮挡采光好，中间楼层主要环境好,265,31548,3室2厅,低楼层,33,精装,北,2017,84,广州绿地城,知识城,黄埔,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403326561.html
精装修绿色视野实用三房近地铁婚房,花园大，户型大，望湖，方便看房,178.5,18167,3室2厅,低楼层,10,精装,东南,2017,98.26,侨建御溪谷南区,中新镇,增城,一梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403338042.html
南北对流格局的大三房，带入户，户型方正 业主有心卖,此房带入户的大三房，南北对流格局，配套设施齐全，交通便利,119,10280,3室2厅,低楼层,32,精装,南 北,2017,115.76,广州敏捷绿湖首府二期,石滩镇,增城,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403337759.html
东方夏湾拿第3期4层别墅，南北通透,此房南北通透户型，采光充足，每个房间都是南向,388,14123,5室3厅,独栋,3,简装,南 北,0,274.74,东方夏湾拿,太平镇,从化,,,商品房,https://gz.lianjia.com/ershoufang/108403346692.html
凤凰城 凤馨苑 刚需 正南三房,过五年 正南向 高楼层视野好，宜居,188,18707,3室1厅,高楼层,18,精装,南,2002,100.5,碧桂园凤凰城凤馨苑,凤凰城,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403345950.html
嘉华苑大三房诚心出 中楼层 装修保养好 随时看房,此房满2年，业主诚心出，增值税可以协商,162,16361,3室2厅,中楼层,7,精装,东北,2003,99.02,新塘新世界花园嘉华苑,沙村,增城,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403359839.html
房子过五唯一，通风采光好，户型实用，房屋利用率高。,户型优势：朝南，明厨明卫经典开间，通风好，业主诚心出手,138,12777,3室1厅,低楼层,18,精装,北,2012,108.01,嘉骏豪苑,新塘南,增城,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403354151.html
此房满五，格局方正，采光充足 配套设施齐全,此房满五，格局方正，采光充足，配套设施齐全..,165,18057,3室2厅,高楼层,18,精装,东南,2009,91.38,锦绣新天地,新塘南,增城,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403350308.html
满五年，低税费，业主自住装修保养好，看花园视野好,满五年，低税费，业主自住装修保养好，看花园视野好,149,16767,3室1厅,高楼层,15,精装,东北,2011,88.87,锦绣新天地,新塘南,增城,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403358019.html
保利    三房 南向 靓楼层   婚房,此房源南向，小区绿化环境好，活动空间区域大,238,19120,3室2厅,中楼层,39,精装,南,2012,124.48,保利东江首府,新塘南,增城,两梯三户,有,商品房,https://gz.lianjia.com/ershoufang/108403365992.html
金地荔湖城中层东南向精装双阳台二房,此房满五年，客厅，房间全南南大二房，双阳台，居住舒适,105,12100,2室2厅,中楼层,32,精装,东南,0,86.78,金地荔湖城水立坊,永和,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403344463.html
有钥匙 看花园 看房方便 随时可以约,有钥匙，看房方便，随时可约。。,190,18588,3室1厅,高楼层,32,毛坯,南,2015,102.22,敏捷锦绣天伦,新塘北,增城,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403363074.html
金泽三期次新房，南向中层视野好，小三房诚意急卖,金泽三期次新房，南向中层视野好，小三房诚意急卖。,199,22632,3室1厅,中楼层,32,精装,南,2016,87.93,金泽豪庭,白江,增城,两梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403366625.html
对流户型通风效果好，满五唯一省税费,满五唯一，主阳台望空中花园，对流户型通风效果好。,156,16503,3室2厅,低楼层,17,简装,北,2002,94.53,碧桂园凤凰城凤妍苑,凤凰城,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403331585.html
翡翠次新楼龄 中楼层望花园 保养好 看房方便,此房楼层舒适，南北向通风采光好，居住舒适，视野佳,222,19488,3室2厅,低楼层,25,精装,东北,2016,113.92,翡翠绿洲克拉邻里,凤凰城,增城,两梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403331566.html
海德公馆两栋四户东南向大三房大阳台正对泳池景观开扬,两梯四户，东南向双阳台，厅大房大，正对泳池,828,64436,3室2厅,低楼层,28,精装,东 南,0,128.5,保利葛洲坝海德公馆,广钢新城,荔湾,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403351046.html
誉山国际三房，户型方正，南北对流，楼层视野好,此房满五唯一，楼层视野开阔，南向，户型结构方正,168,17598,3室2厅,中楼层,18,精装,南,0,95.47,合景誉山国际,永和,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403340383.html
业主诚意急出手  时代配套  地铁 电梯房,楼层好，视野开阔一线园景无遮挡，户型采光充足，全新无入住,130,10718,3室2厅,高楼层,22,毛坯,东南,2016,121.3,大城云山,太平镇,从化,两梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403366753.html
满五年免重税 小区管理 低层精装修两房 视野开阔,满五年免重税，装修保养新净，小区环境舒适，钥匙在手随时可看,213,29291,2室1厅,中楼层,8,精装,西,0,72.72,荔福路,沙园,海珠,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403332947.html
黄埔区知识城  三房两厅 带天然气 阳台,交通便利 配套成熟 小区安静 环境好 空气清新 商品房,101.4,11373,3室2厅,低楼层,32,精装,北,2019,89.16,合景天峻广场,知识城,黄埔,三梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403332671.html
广园云苑新村 电梯精装三房 厅出阳台 采光好,电梯房 采光好 精装三房 一手业主 厅出阳台,222,33229,3室1厅,中楼层,9,精装,北,1999,66.81,广园云苑新村,景泰,白云,一梯四户,有,房改房,https://gz.lianjia.com/ershoufang/108403379868.html
恒生花园 3室2厅 南,链家网真房源，更多房源信息请联系经纪人,208,19269,3室2厅,高楼层,6,其他,南,2000,107.95,恒生花园,南村,番禺,一梯两户,无,商品房,https://gz.lianjia.com/ershoufang/108403379207.html
富力半岛花园  户型方正  产权清晰  房子满五年,高层望小区泳池 实用率高 精装修 户型方正 产权清晰  过五不维一,258,39288,2室1厅,高楼层,27,简装,西北,2002,65.67,富力半岛花园,罗冲围,白云,两梯八户,有,商品房,https://gz.lianjia.com/ershoufang/108403376045.html
越秀区 小两房 精装 证过五年 税费少 近地铁,此房属于越秀区 近地铁 近公交车站 入手门槛低,99,24018,2室1厅,高楼层,9,精装,南 西,0,41.22,北站路,机场路,越秀,一梯五户,无,商品房,https://gz.lianjia.com/ershoufang/108403395560.html
公园前 六榕路 独栋私房 七字单边 朝小 业主诚意出*,公园前 六榕路 独栋私房 七字单边 朝小 业主诚意出*,225,63560,3室1厅,低楼层,1,简装,南 北,0,35.4,广德路,公园前,越秀,一梯一户,无,商品房,https://gz.lianjia.com/ershoufang/108401902693.html
此房满五年，中间层南向，采光充足,南向带入户，中间层视野开阔，户型实用,170,18479,3室1厅,中楼层,11,精装,南,2002,92,碧桂园凤凰城凤馨苑,凤凰城,增城,两梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403382574.html
近地铁，满五，南向，户型方正，通风好,此房位置好，户型方正，安静位置，功能区分利用度高，公摊少,242,29621,3室1厅,低楼层,6,简装,南 西南,2002,81.7,雅澜苑,洛溪,番禺,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403382602.html
广园西路莲塘前街 框架结构  交通方便  随时看房,越秀区物业 未过五年 间隔方正 实用 采光好 厅出阳台,148,17813,3室1厅,高楼层,9,简装,南,0,83.09,广园西路,桂花岗,越秀,一梯两户,暂无数据,商品房,https://gz.lianjia.com/ershoufang/108403387545.html
急shou 9号线地铁口300米 全新装修 几乎没住过,急shou 9号线地铁口300米 全新装修 几乎没住过,150,16057,3室2厅,高楼层,11,精装,东北,0,93.42,天马河壹号四期,秀全街,花都,一梯五户,有,商品房,https://gz.lianjia.com/ershoufang/108403380050.html
边检大院 2000年原装电梯楼 东南向三房双阳台设计,东南向电梯三房，双阳台设计，小区居住人群素质高,729,74086,3室2厅,高楼层,9,精装,东南,2015,98.4,边检大院,龙口西,天河,一梯四户,有,商品房,https://gz.lianjia.com/ershoufang/108403380992.html
框架两房  南北向  精装修 随时可看,南北向正规两房，安静舒适。看房方便,220,46103,2室1厅,中楼层,9,精装,南,0,47.72,东华东路,东山口,越秀,一梯九户,无,商品房,https://gz.lianjia.com/ershoufang/108403379755.html
低层全明三房 东南北单边位 随时看房,此房满五年，户型方正，安全不吵,480,48588,3室2厅,低楼层,9,简装,东 南 北,1990,98.79,东华西路,东川路,越秀,一梯四户,无,商品房,https://gz.lianjia.com/ershoufang/108403382032.html
花园社区  电梯高层 东南向 采光视野好,东南向 户型方正 满五年 花园小区管理 采光充足 配套完善,215,29676,2室1厅,高楼层,9,简装,东南,1995,72.45,侨爱苑,机场路,白云,一梯六户,有,商品房,https://gz.lianjia.com/ershoufang/108403382132.html
