标题,地区,户型,面积,朝向,装修,楼层,建立时间,房子类型,总价,单价,关注人数,发布时间,标签,详情页
业主诚心卖，南北通透格局好，楼层,碧桂园豪进广场 -白江,3室1厅 ,121.03, 东南 南 北 , 毛坯 , 中楼层(共30层) , 2016年建 , 塔楼,270万,"22,309",9, 13天以前发布,近地铁-VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403373447.html
南晓苑小区 精装平层电梯三房带主套 采光通风好,南晓苑 -新港西,3室1厅 ,82.71, 北 , 精装 , 高楼层(共9层) , 1998年建 , 塔楼,280万,"33,854",24, 14天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403369293.html
滨江东金雅苑三开间朝南 望花园两房   免重税,金雅苑 -滨江东,2室1厅 ,71.49, 南 , 简装 , 13层 , 2001年建 , 塔楼,425万,"59,449",19, 11天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403379092.html
电梯三房  温馨舒适 诚心出  看房方便,下塘西路 -麓景,3室2厅 ,121.85, 南 , 精装 , 中楼层(共9层)  , 塔楼,暂无数据,499万,"40,952",10, 7天以前发布,近地铁-VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403389278.html
保养好，安静望花园，满五唯一税费少，还多有一个阁楼,东方名都 -白江,4室1厅 ,119.98, 南 北 , 精装 , 15层 , 2012年建 , 塔楼,276万,"23,004",4, 6天以前发布,近地铁-VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403393721.html
此物业满五，富力皇座单位，东南向，楼龄新，三阳台。,富力广场B区 -中山八,4室2厅 ,174.94, 东南 , 精装 , 高楼层(共26层) , 2003年建 , 塔楼,830万,"47,445",1, 6天以前发布,近地铁-VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403393382.html
时代花生二期少有放卖的户型，中层南向，安静不吵,时代花生二期 -沙太南,4室2厅 ,141.44, 南 , 简装 , 中楼层(共18层) , 2008年建 , 塔楼,766万,"54,158",2, 5天以前发布,近地铁-VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403398133.html
满五唯一高层复式3+1房，带私人露台，视野好望广州塔,富力天朗明居 -棠下,4室2厅 ,69.89, 西南 , 简装 , 高楼层(共20层) , 2004年建 , 塔楼,355万,"50,725",8, 3天以前发布,近地铁-VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403402137.html
富力天河华庭 产权清晰 高层 南北对流 业主诚心卖,富力天河华庭 -林和,4室2厅 ,172.72, 南 北 , 精装 , 高楼层(共26层) , 2006年建 , 塔楼,1331万,"77,039",38, 7天以前发布,近地铁-VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403390938.html
东华东路 低层三房 格局方正 采光通风好 近地铁,东华东路 -东山口,3室1厅 ,67.36, 南 , 精装 , 低楼层(共9层) , 1995年建 , 塔楼,358万,"53,148",6, 6天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403392949.html
环市西路五号线西村站，精装小三房。,环市西路 -流花站前,3室1厅 ,47.53, 南 , 精装 , 中楼层(共6层)  , 塔楼,暂无数据,128万,"26,931",17, 6天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403393389.html
东南朝向  视野宽阔   大平层三房,碧桂园凤凰城凤仪苑 -凤凰城,3室2厅 ,105.6, 东南 , 精装 , 中楼层(共6层) , 2003年建 , 塔楼,185万,"17,519",2, 7天以前发布,VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403390607.html
天马河五期，东南向看河景观，毛坯三房，业主诚意卖,天马河壹号五期 -秀全街,3室1厅 ,120.23, 南 , 毛坯 , 中楼层(共18层) , 2015年建 , 塔楼,187万,"15,554",7, 7天以前发布,近地铁-VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403389595.html
金桂园东南向，高层望泳池，您值得拥有。,金桂园 -桂花岗,3室2厅 ,93.02, 东 , 简装 , 高楼层(共15层) , 2000年建 , 塔楼,480万,"51,602",2, 8天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403388849.html
业主急要资金 全新未入住  随时可以看房 低密度高绿化,华发荔湾荟 -滘口,2室2厅 ,77.1, 西南 , 毛坯 , 高楼层(共20层) , 2017年建 , 塔楼,285万,"36,965",15, 6天以前发布,VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403392757.html
南向三房带入户，前排无遮挡视野开阔,碧桂园凤凰城凤馨苑 -凤凰城,3室2厅 ,99.68, 南 , 精装 , 低楼层(共18层) , 2002年建 , 塔楼,195万,"19,563",1, 7天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403389916.html
锦绣花园北区精装修3房，带全屋家电，采光通风好,锦绣花园北区 -钟村,3室2厅 ,76.8, 东 , 精装 , 中楼层(共8层) , 1997年建 , 板楼,168万,"21,875",2, 6天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403392468.html
看房有钥匙   产权过五年省税费,吉祥北园 -洛溪,2室1厅 ,60.5, 东北 , 简装 , 中楼层(共7层) , 1993年建 , 板塔结合,162万,"26,777",3, 6天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403393455.html
万科柏悦湾 中高楼层 视野开阔 证满五年,万科柏悦湾 -大坦沙,3室2厅 ,93.63, 北 , 精装 , 34层 , 2010年建 , 塔楼,415万,"44,324",9, 7天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403391044.html
祈福倚云居东南向 视野开阔 采光非 常好,祈福新村倚云居 -祈福新村,3室2厅 ,107, 东南 , 精装 , 高楼层(共29层) , 2004年建 , 塔楼,275万,"25,701",8, 4天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403398416.html
合生四期次新楼龄全新入住 中高楼层望小区花园,合生湖山国际 -凤凰城,2室2厅 ,90.81, 南 北 , 精装 , 中楼层(共25层) , 2017年建 , 塔楼,160万,"17,620",1, 4天以前发布,VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403398710.html
小区已微改造，东南向电梯高层，精装修，保养好,广和路 -天河南,3室1厅 ,84.74, 东南 , 精装 , 高楼层(共9层)  , 塔楼,暂无数据,430万,"50,744",116, 4天以前发布,近地铁-VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403399011.html
市二宫成熟商圈，原装电梯楼，近地铁，视野开阔,侨宏大厦 -前进路,3室3厅 ,141.47, 东 , 简装 , 高楼层(共22层) , 1999年建 , 板塔结合,380万,"26,861",10, 5天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403396443.html
300米到地铁口，新装修有电梯 满五年框架结构可公积金,富华西路 -市桥,3室1厅 ,78.7, 南 北 , 精装 , 中楼层(共7层)  , 塔楼,暂无数据,188万,"23,889",8, 4天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403399914.html
满五年唯一，中楼层，户型方正，产权清晰,天员大厦 -员村,2室1厅 ,60.08, 南 北 , 简装 , 中楼层(共9层) , 1995年建 , 塔楼,245万,"40,779",0, 5天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403395531.html
全新精装3房，户型方正，南北对流，采光充足,机场路 -机场路,3室1厅 ,70.65, 南 , 精装 , 低楼层(共9层)  , 塔楼,暂无数据,190万,"26,894",2, 4天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403398681.html
电梯高层 全新精装修 近地铁 拎包入住,春暖花园 -机场路,2室1厅 ,46.41, 西 , 精装 , 中楼层(共9层) , 1995年建 , 塔楼,146万,"31,459",8, 5天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403398191.html
南向采光很好，电梯楼，交通方便，生活便利,松园大道 -旧区,3室1厅 ,73.26, 南 , 其他 , 中楼层(共9层)  , 塔楼,暂无数据,80万,"10,921",5, 6天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403392760.html
东浚荔景苑精装两房，全明屋，高楼层，视野开阔,东浚荔景苑 -中山八,2室1厅 ,60.54, 东北 , 精装 , 高楼层(共37层) , 1998年建 , 塔楼,268万,"44,269",5, 5天以前发布,近地铁-VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403397997.html
水均大街方正三房，安静不吵，南北对流 低楼层,水均岗 -东风东,3室1厅 ,65.36, 南 北 , 精装 , 中楼层(共6层)  , 板楼,暂无数据,408万,"62,424",0, 5天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403397683.html
龙口西 满五唯一 东南向大三房,天誉华庭 -龙口西,3室2厅 ,119.79, 南 , 精装 , 中楼层(共38层) , 2004年建 , 板塔结合,1320万,"110,193",10, 25天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403338720.html
精装修，中层采光通风好，厅出阳台望小区安静,康怡花苑 -新港西,3室2厅 ,89.47, 北 东北 , 简装 , 中楼层(共9层) , 1994年建 , 塔楼,299万,"33,420",8, 25天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403337894.html
天马河国际公馆 4室2厅 南 北 东北,天马河国际公馆 -旧区,4室2厅 ,240, 南 北 东北 , 毛坯 , 中楼层(共4层)  , 塔楼,暂无数据,320万,"13,334",4, 18天以前发布,VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403358429.html
海德公馆优质四房三卫望广钢公园,保利葛洲坝海德公馆 -广钢新城,4室2厅 ,170.98, 南 , 精装 , 低楼层(共26层)  , 塔楼,暂无数据,1150万,"67,260",11, 30天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403324809.html
汇港威华雅苑 3室2厅 南 北,汇港威华雅苑 -朱村,3室2厅 ,105.66, 南 北 , 精装 , 中楼层(共31层) , 2018年建 , 塔楼,135万,"12,777",3, 7天以前发布,近地铁-VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403391129.html
业主诚意急出手  时代配套  地铁 电梯房,大城云山 -太平镇,3室2厅 ,121.3, 东南 , 毛坯 , 高楼层(共22层) , 2016年建 , 塔楼,130万,"10,718",12, 15天以前发布,近地铁-VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403366753.html
神岗市场  电梯房  交通方便  生活便利,人盛巴厘天地 -神岗镇,2室1厅 ,81.2, 东南 , 毛坯 , 中楼层(共10层) , 2013年建 , 塔楼,68.8万,"8,473",11, 7天以前发布,VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403389826.html
沙村次新房，高层南向三房，横厅采光面广,合汇学府名郡 -白江,3室1厅 ,112.71, 南 北 , 其他 , 高楼层(共32层) , 2018年建 , 板塔结合,230万,"20,407",3, 10天以前发布,VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403382760.html
保利东江首府中高楼层，楼栋位置好，一线江景无遮挡,保利东江首府 -新塘南,3室2厅 ,124.12, 南 , 精装 , 高楼层(共39层) , 2012年建 , 塔楼,250万,"20,142",8, 9天以前发布,VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403383977.html
保利    三房 南向 靓楼层   婚房,保利东江首府 -新塘南,3室2厅 ,124.48, 南 , 精装 , 中楼层(共39层) , 2012年建 , 塔楼,238万,"19,120",16, 15天以前发布,VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403365992.html
近地铁 新世界花园 满五 望小区园林 保养好,新塘新世界花园万象苑 -沙村,2室1厅 ,87.1, 南 , 精装 , 高楼层(共22层) , 2009年建 , 塔楼,213万,"24,455",3, 11天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403380838.html
房子满五年，无按揭，精装修，望花园，有钥匙看房方便,金泽豪庭 -白江,2室2厅 ,82.73, 北 , 精装 , 高楼层(共27层) , 2009年建 , 塔楼,159.8万,"19,316",23, 12天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403376390.html
沙村地铁口 楼龄新，次新房 南向精装三房 高层通风好,合汇学府名郡 -白江,3室2厅 ,98.97, 南 , 精装 , 高楼层(共17层)  , 塔楼,暂无数据,210万,"21,219",7, 8天以前发布,VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403387655.html
"满五唯一 业主自住 楼层好 户型格局方正,采光较好，",敏捷锦绣天伦 -新塘北,2室1厅 ,81.47, 东北 , 精装 , 高楼层(共32层) , 2017年建 , 塔楼,163万,"20,008",1, 7天以前发布,VR看装修-房本满两年,https://gz.lianjia.com/ershoufang/108403390782.html
凤天苑满五年高层大四房 正南向无遮挡 一线景观,碧桂园凤凰城凤天苑 -凤凰城,4室2厅 ,134.79, 南 , 精装 , 高楼层(共24层) , 2002年建 , 塔楼,272万,"20,180",5, 8天以前发布,VR房源-房本满两年,https://gz.lianjia.com/ershoufang/108403388491.html
锦绣天伦精装两房，中楼层望花园，看房方便！,敏捷锦绣天伦 -新塘北,2室2厅 ,81.25, 北 , 精装 , 中楼层(共33层) , 2015年建 , 塔楼,168万,"20,677",1, 7天以前发布,VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403390344.html
沙村地铁口600米 ，满五唯一，中层方正大两房，采光好,新塘新世界花园嘉怡苑 -沙村,2室2厅 ,75.06, 北 , 精装 , 中楼层(共6层)  , 塔楼,暂无数据,148万,"19,718",2, 4天以前发布,近地铁-VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403399555.html
新世界花园 近地铁 南向 小区环境好 保养好,新塘新世界花园万象苑 -沙村,3室1厅 ,96.97, 南 , 精装 , 低楼层(共18层) , 2014年建 , 塔楼,240万,"24,750",2, 5天以前发布,近地铁-VR房源-房本满两年,https://gz.lianjia.com/ershoufang/108403396778.html
三房装修新净，采光充足，配套齐全。,塘园中路 -荔城富鹏,3室2厅 ,90.08, 北 , 精装 , 中楼层(共8层)  , 暂无数据,暂无数据,76万,"8,437",0, 5天以前发布,VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403398282.html
新塘地铁口800米，富雅名居 满五唯一2房，看小区花园,富雅名居 -新塘北,2室2厅 ,71.24, 东北 , 精装 , 高楼层(共9层) , 2005年建 , 塔楼,117万,"16,424",5, 3天以前发布,VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403401574.html
正规小两房，过五唯一，采光好，，,美业阁 -新塘北,2室1厅 ,60.9, 北 , 精装 , 高楼层(共7层)  , 平房,暂无数据,90万,"14,779",2, 4天以前发布,VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403398304.html
沙村地铁口四房，过五年免增值税 南北对流户型,新塘新世界花园万象苑 -沙村,4室2厅 ,146.57, 南 , 精装 , 中楼层(共22层) , 2009年建 , 塔楼,350万,"23,880",3, 23天以前发布,近地铁-VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403344576.html
怡乐路准电梯三房南北对流望中山大学,怡乐路 -中大,3室2厅 ,80.73, 东南 , 精装 , 高楼层(共9层)  , 塔楼,暂无数据,320万,"39,639",14, 12天以前发布,VR看装修-房本满两年,https://gz.lianjia.com/ershoufang/108403374744.html
顺华名庭 电梯三房 此户型方正 少有放盘  满五,顺华名庭 -新港西,3室1厅 ,91.85, 东北 , 其他 , 高楼层(共12层) , 2001年建 , 塔楼,418万,"45,509",14, 16天以前发布,近地铁-VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403363696.html
珠江帝景 赏湖轩 高层 格局方正 视野开阔 采光充足,珠江帝景苑 -滨江东,4室2厅 ,150.52, 东北 , 简装 , 高楼层(共20层) , 2005年建 , 塔楼,822万,"54,593",4, 12天以前发布,近地铁-VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403378081.html
温馨舒适  精装修可拎包入住  中楼层采光好  西南望江,花语水岸 -大坦沙,5室2厅 ,168.14, 西南 , 精装 , 26层 , 2015年建 , 塔楼,910万,"54,122",5, 15天以前发布,近地铁-VR看装修-房本满两年,https://gz.lianjia.com/ershoufang/108403366427.html
万科蓝山 4室2厅 东 东南 西,万科蓝山 -南湖,4室2厅 ,162.33, 东 东南 西 , 精装 , 低楼层(共4层) , 2007年建 , 板楼,538万,"33,143",5, 10天以前发布,VR房源-房本满两年,https://gz.lianjia.com/ershoufang/108403383590.html
业主诚心放卖 南北对流4房 高层看城市景观 佳格可谈,嘉裕丹顿阳光 -珠江新城东,4室2厅 ,198.2, 南 , 精装 , 高楼层(共29层) , 2010年建 , 板楼,2498万,"126,035",12, 13天以前发布,近地铁-VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403373959.html
荷塘月色精装复式6房，南向望白云新城，视野开阔,白云高尔夫花园荷塘月色 -黄石,6室2厅 ,234.22, 南 , 精装 , 高楼层(共18层) , 2004年建 , 塔楼,955万,"40,774",5, 9天以前发布,VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403385714.html
满五唯一，西南向，业主自住保养好 温馨三房,珠江俊园 -华景新城,3室2厅 ,107.17, 西南 , 精装 , 低楼层(共28层) , 2007年建 , 板塔结合,734万,"68,435",12, 14天以前发布,VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403368655.html
誉山国际，精装三房，好楼层位置佳,合景誉山国际 -永和,3室2厅 ,89.94, 南 , 精装 , 中楼层(共25层)  , 塔楼,暂无数据,150万,"16,678",4, 29天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403327583.html
对流户型通风效果好，满五唯一省税费,碧桂园凤凰城凤妍苑 -凤凰城,3室1厅 ,94.53, 北 , 简装 , 低楼层(共17层) , 2002年建 , 塔楼,160万,"16,926",6, 27天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403331585.html
位于流溪河畔，近公园，绿化环境好，空气好,紫泉流溪湾 -太平镇,3室2厅 ,88.84, 北 , 毛坯 , 高楼层(共17层) , 2016年建 , 板楼,111万,"12,495",1, 20天以前发布,VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403351960.html
位于流溪河畔，近公园，绿化环境好，空气好,紫泉流溪湾 -太平镇,3室2厅 ,88.67, 北 , 毛坯 , 高楼层(共17层) , 2016年建 , 板楼,112万,"12,632",1, 20天以前发布,VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403352002.html
户型方正，没有遮挡采光好，中间楼层,广州绿地城 -知识城,3室2厅 ,84, 北 , 精装 , 低楼层(共33层) , 2017年建 , 板塔结合,265万,"31,548",8, 29天以前发布,VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403326561.html
精装修绿色视野实用三房近地铁婚房,侨建御溪谷南区 -中新镇,3室2厅 ,98.26, 东南 , 精装 , 低楼层(共10层) , 2017年建 , 板塔结合,178.5万,"18,167",5, 25天以前发布,近地铁-VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403338042.html
翡翠次新楼龄 中楼层望花园 保养好 看房方便,翡翠绿洲克拉邻里 -凤凰城,3室2厅 ,113.92, 东北 , 精装 , 低楼层(共25层) , 2016年建 , 塔楼,220万,"19,312",3, 27天以前发布,VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403331566.html
南北对流格局的大三房，带入户，户型方正 业主有心卖,广州敏捷绿湖首府二期 -石滩镇,3室2厅 ,115.76, 南 北 , 精装 , 低楼层(共32层) , 2017年建 , 塔楼,119万,"10,280",3, 25天以前发布,VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403337759.html
近地铁，满五唯一，中高楼层，户型方正,金泽豪庭 -白江,2室2厅 ,81.82, 北 , 精装 , 中楼层(共27层) , 2012年建 , 塔楼,165万,"20,167",13, 29天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403325838.html
满五年，低税费，业主自住装修保养好，看花园视野好,锦绣新天地 -新塘南,3室1厅 ,88.87, 东北 , 精装 , 高楼层(共15层) , 2011年建 , 塔楼,148万,"16,654",9, 18天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403358019.html
满五年免重税 小区管理 低层精装修两房 视野开阔,荔福路 -沙园,2室1厅 ,72.72, 西 , 精装 , 中楼层(共8层)  , 塔楼,暂无数据,213万,"29,291",7, 27天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403332947.html
房子过五唯一，通风采光好，户型实用，房屋利用率高。,嘉骏豪苑 -新塘南,3室1厅 ,108.01, 北 , 精装 , 低楼层(共18层) , 2012年建 , 塔楼,142万,"13,147",7, 19天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403354151.html
万象苑稀有南向两房 户型方正全南向 格局通透 满五年,新塘新世界花园万象苑 -沙村,2室2厅 ,79.05, 南 , 精装 , 低楼层(共18层) , 2012年建 , 塔楼,203万,"25,680",12, 23天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403343112.html
嘉华苑大三房诚心出 中楼层 装修保养好 随时看房,新塘新世界花园嘉华苑 -沙村,3室2厅 ,99.02, 东北 , 精装 , 中楼层(共7层) , 2003年建 , 塔楼,162万,"16,361",11, 17天以前发布,VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403359839.html
东方夏湾拿第3期4层别墅，南北通透,东方夏湾拿 -太平镇,5室3厅 ,274.74, 南 北 , 简装 , 3层  , 板塔结合 , 独栋别墅 ,388万,"14,123",9, 22天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403346692.html
金地荔湖城中层东南向精装双阳台二房,金地荔湖城水立坊 -永和,2室2厅 ,86.78, 东南 , 精装 , 中楼层(共32层)  , 塔楼,暂无数据,105万,"12,100",13, 23天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403344463.html
有钥匙 看花园 看房方便 随时可以约,敏捷锦绣天伦 -新塘北,3室1厅 ,102.22, 南 , 毛坯 , 高楼层(共32层) , 2015年建 , 塔楼,190万,"18,588",11, 16天以前发布,VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403363074.html
新达路精装修三房厅出阳台南向，户型好，正在筹备电梯,广花五路 -机场路,3室1厅 ,66.88, 南 , 简装 , 中楼层(共9层)  , 塔楼,暂无数据,168万,"25,120",9, 15天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403368029.html
中曦大厦 3室1厅 东南,中曦大厦 -北京路,3室1厅 ,103.33, 东南 , 精装 , 中楼层(共32层) , 2001年建 , 塔楼,760万,"73,551",2, 15天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403365739.html
运动员村南向  次顶配置 采光通风好 证过五年唯一,亚运城运动员村一区 -亚运城,3室2厅 ,117.22, 南 , 精装 , 高楼层(共11层) , 2009年建 , 塔楼,318万,"27,129",12, 16天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403365189.html
机安宿舍 2室1厅 南,机安宿舍 -机场路,2室1厅 ,64, 南 , 简装 , 中楼层(共16层) , 1995年建 , 塔楼,175万,"27,344",4, 13天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403371778.html
交委小区 高层两房 实用率高 景观好,广园云苑新村 -景泰,2室2厅 ,51.53, 北 , 简装 , 高楼层(共9层) , 1999年建 , 塔楼,125万,"24,258",10, 13天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403373221.html
宝岗大道怡雅苑二期三房2卫通风透气采光好,怡雅苑(海珠) -宝岗,3室2厅 ,105.02, 西北 , 简装 , 中楼层(共16层) , 1999年建 , 塔楼,418万,"39,802",15, 14天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403370398.html
2000年小区花园  低楼层 条形砖外墙 地贴口500米,海意名苑 -江南大道中,2室2厅 ,76.86, 南 , 简装 , 中楼层(共10层) , 1999年建 , 塔楼,268万,"34,869",4, 12天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403376528.html
格局通透 户型方正 双阳台 小区环境优美安静 交通便利,碧桂园豪进广场 -白江,3室1厅 ,109.55, 东 西 北 , 毛坯 , 高楼层(共31层) , 2016年建 , 塔楼,249万,"22,730",18, 16天以前发布,近地铁-VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403364149.html
